,open,close
2017-07-19,21.14,22.61
2017-07-18,20.63,21.26
2017-07-17,22.64,20.97
2017-07-14,23.28,22.87
2017-07-13,23.6,23.47
2017-07-12,22.26,23.81
2017-07-11,22.99,22.23
2017-07-10,21.11,23.13
2017-07-07,20.8,21.31
2017-07-06,20.86,20.98
2017-07-05,20.59,21.01
2017-07-04,21.97,20.78
2017-07-03,21.59,21.98
2017-06-30,21.6,21.56
2017-06-29,21.78,21.74
2017-06-28,22.2,21.67
2017-06-27,23.1,22.2
2017-06-26,23.3,23.26
2017-06-23,24.0,23.34
2017-06-22,23.32,25.93
2017-06-21,23.0,23.57
2017-06-20,23.75,24.08
2017-06-19,21.0,22.5
2017-06-16,20.41,20.8
2017-06-15,19.33,20.21
2017-06-14,19.31,19.3
2017-06-13,18.25,19.12
2017-06-12,18.8,18.14
2017-06-09,19.2,19.07
2017-06-08,19.35,19.0
2017-06-07,18.59,19.3
2017-06-06,18.74,18.55
2017-06-05,18.16,18.69
2017-06-02,18.15,18.18
2017-06-01,17.9,17.94
2017-05-31,17.85,17.91
2017-05-26,17.1,17.77
2017-05-25,16.95,16.99
2017-05-24,17.2,16.82
2017-05-23,17.75,17.41
2017-05-22,17.85,17.74
2017-05-19,17.81,17.85
2017-05-18,17.8,17.8
2017-05-17,17.87,17.93
2017-05-16,17.5,17.7
2017-05-15,17.3,17.51
2017-05-12,17.85,17.6
2017-05-11,18.35,17.92
2017-05-10,18.63,18.32
2017-05-09,18.53,18.72
2017-05-08,18.58,18.52
2017-05-05,19.1,18.64
2017-05-04,19.31,19.11
2017-05-03,19.28,19.35
2017-05-02,19.2,19.38
2017-04-28,18.87,19.45
2017-04-27,18.9,18.74
2017-04-26,18.85,18.8
2017-04-25,18.88,18.75
2017-04-24,19.58,18.72
2017-04-21,19.49,19.63
2017-04-20,20.07,19.5
2017-04-19,21.3,20.23
2017-04-18,20.61,21.47
2017-04-17,20.67,20.84
2017-04-14,21.21,20.66
2017-04-13,21.3,21.43
2017-04-12,20.26,21.41
2017-04-11,20.36,20.66
2017-04-10,21.3,20.73
2017-04-07,20.81,21.91
2017-04-06,21.0,20.81
2017-04-05,19.73,20.99
2017-03-31,19.9,19.68
2017-03-30,19.68,19.91
2017-03-29,19.8,19.67
2017-03-28,19.78,19.7
2017-03-27,19.91,19.76
2017-03-24,19.5,19.96
2017-03-23,19.88,19.5
2017-03-22,20.19,19.89
2017-03-21,20.47,20.34
2017-03-20,20.4,20.48
2017-03-17,20.6,20.42
2017-03-16,20.6,20.57
2017-03-15,20.8,20.58
2017-03-14,20.52,20.89
2017-03-13,20.92,20.78
2017-03-10,20.96,21.11
2017-03-09,21.17,20.93
2017-03-08,21.3,21.1
2017-03-07,21.88,21.41
2017-03-06,22.13,21.98
2017-03-03,21.79,21.94
2017-03-02,22.0,21.79
2017-03-01,21.61,22.08
2017-02-28,21.52,21.63
2017-02-27,21.82,21.53
2017-02-24,22.08,21.93
2017-02-23,20.99,22.22
2017-02-22,21.35,20.88
2017-02-21,21.7,21.33
2017-02-20,21.46,21.59
2017-02-17,22.17,21.59
2017-02-16,21.57,22.35
2017-02-15,21.5,21.78
2017-02-14,20.75,21.23
2017-02-13,20.38,20.79
2017-02-10,20.72,20.45
2017-02-09,20.52,20.67
2017-02-08,20.55,20.65
2017-02-07,19.97,20.89
2017-02-06,19.35,20.45
2017-02-03,19.13,19.17
2017-01-26,19.3,19.19
2017-01-25,19.15,19.16
2017-01-24,19.29,19.11
2017-01-23,19.11,19.15
2017-01-20,18.63,19.12
2017-01-19,18.67,18.63
2017-01-18,18.65,18.65
2017-01-17,18.51,18.65
2017-01-16,19.95,18.47
2017-01-13,20.26,19.96
2017-01-12,20.05,20.4
2017-01-11,20.31,20.05
2017-01-10,20.22,20.2
2017-01-09,20.38,20.4
2017-01-06,20.0,20.19
2017-01-05,19.78,20.06
2017-01-04,19.44,19.77
2017-01-03,19.4,19.48
2016-12-30,19.6,19.35
2016-12-29,19.38,19.84
2016-12-28,19.59,19.41
2016-12-27,19.68,19.51
2016-12-26,19.81,19.89
2016-12-23,20.46,19.84
2016-12-22,18.5,20.42
2016-12-21,18.49,18.56
2016-12-20,18.45,18.38
2016-12-19,18.5,18.53
2016-12-16,18.53,18.48
2016-12-15,17.98,18.48
2016-12-14,18.11,18.04
2016-12-13,19.04,18.44
2016-12-12,19.48,19.02
2016-12-09,20.91,19.4
2016-12-08,21.3,20.91
2016-12-07,21.14,21.3
2016-12-06,21.18,20.98
2016-12-05,20.85,21.2
2016-12-02,21.58,21.07
2016-12-01,21.5,21.48
2016-11-30,22.21,21.48
2016-11-29,25.0,22.87
2016-11-16,24.5,25.4
2016-11-15,24.36,24.65
2016-11-14,25.22,24.36
2016-11-11,24.9,25.11
2016-11-10,24.48,24.96
2016-11-09,24.4,24.44
2016-11-08,23.17,24.46
2016-11-07,23.11,23.06
2016-11-04,23.17,23.3
2016-11-03,23.16,23.2
2016-11-02,23.8,23.1
2016-11-01,24.1,23.9
2016-10-31,23.78,24.27
2016-10-28,24.1,23.89
2016-10-27,23.89,24.02
2016-10-26,23.25,24.1
2016-10-25,21.61,23.25
2016-10-24,21.15,21.88
2016-10-21,21.15,20.97
2016-10-20,21.25,21.23
2016-10-19,21.35,21.25
2016-10-18,21.14,21.33
2016-10-17,21.99,20.98
2016-10-14,22.2,21.75
2016-10-13,22.43,22.25
2016-10-12,22.3,22.63
2016-10-11,21.59,22.37
2016-10-10,21.9,21.75
2016-09-30,21.19,21.6
2016-09-29,20.85,21.29
2016-09-28,19.88,20.86
2016-09-27,19.3,19.88
2016-09-26,21.03,19.3
2016-09-23,21.06,21.19
2016-09-22,20.95,21.06
2016-09-21,20.78,20.92
2016-09-20,21.16,20.79
2016-09-19,21.95,21.15
2016-09-14,21.8,21.92
2016-09-13,22.1,21.9
2016-09-12,22.5,21.94
2016-09-09,23.92,23.08
2016-09-08,24.8,24.25
2016-09-07,23.2,24.48
2016-09-06,22.74,22.99
2016-09-05,22.57,22.78
2016-09-02,22.33,22.85
2016-09-01,20.85,22.86
2016-08-31,20.92,20.77
2016-08-30,21.12,20.7
2016-08-29,21.87,21.09
2016-08-26,21.79,21.74
2016-08-25,21.8,21.75
2016-08-24,21.88,22.03
2016-08-23,22.41,21.54
2016-08-22,22.08,22.19
2016-08-19,22.6,22.12
2016-08-18,22.41,22.6
2016-08-17,22.51,22.4
2016-08-16,21.81,22.79
2016-08-15,21.6,21.99
2016-08-12,20.77,21.34
2016-08-11,21.09,20.85
2016-08-10,21.44,21.0
2016-08-09,21.14,21.7
2016-08-08,21.41,21.14
2016-08-05,22.15,21.66
2016-08-04,21.79,21.9
2016-08-03,21.0,22.16
2016-08-02,20.55,20.8
2016-08-01,20.37,20.46
2016-07-29,20.92,20.73
2016-07-28,21.98,21.14
2016-07-27,21.82,22.67
2016-07-26,22.15,21.62
2016-07-25,20.17,21.98
2016-07-22,19.41,19.96
2016-07-21,18.31,19.1
2016-07-20,18.17,18.47
2016-07-19,18.3,18.0
2016-07-18,18.0,18.31
2016-07-15,17.69,18.32
2016-07-14,17.6,17.67
2016-07-13,17.88,17.63
2016-07-12,17.82,17.57
2016-07-11,18.0,17.95
2016-07-08,19.5,18.45
2016-07-07,18.66,18.66
2016-07-06,16.96,16.96
2016-03-15,15.24,15.42
2016-03-14,15.02,15.24
2016-03-11,14.97,14.75
2016-03-10,15.25,15.01
2016-03-09,15.48,15.28
2016-03-08,15.5,15.75
2016-03-07,15.17,15.42
2016-03-04,15.84,15.19
2016-03-03,15.1,16.12
2016-03-02,14.4,15.18
2016-03-01,14.02,14.4
2016-02-29,14.82,14.01
2016-02-26,15.15,14.85
2016-02-25,16.5,15.06
